Model,Accuracy,Precision,Recall,F1,FP,FN
Random Forest,0.980743851229754,0.9750623441396509,0.7220683287165282,0.8297082228116711,20,301
Extra Trees,0.9796040791841631,0.9744572158365262,0.7045244690674054,0.8177920685959271,20,320
Bagging (RF),0.9794241151769646,0.9501216545012166,0.7211449676823638,0.8199475065616798,41,302
Ensemble (RF+ET+Bag),0.9811637672465507,0.9873257287705957,0.7192982456140351,0.8322649572649573,10,304
